estado	fecha_caso_nuevo	count
Aguascalientes	2020-03-15	1
Aguascalientes	2020-03-19	4
Aguascalientes	2020-03-23	6
Aguascalientes	2020-03-25	12
Aguascalientes	2020-03-26	13
Aguascalientes	2020-03-27	19
Aguascalientes	2020-03-29	24
Baja California	2020-03-18	2
Baja California	2020-03-20	4
Baja California	2020-03-21	8
Baja California	2020-03-22	11
Baja California	2020-03-23	13
Baja California	2020-03-25	14
Baja California	2020-03-26	19
Baja California	2020-03-27	20
Baja California	2020-03-29	23
Baja California Sur	2020-03-21	1
Baja California Sur	2020-03-23	2
Baja California Sur	2020-03-25	5
Baja California Sur	2020-03-26	7
Baja California Sur	2020-03-27	9
Baja California Sur	2020-03-29	11
Campeche	2020-03-22	1
Campeche	2020-03-23	2
Campeche	2020-03-28	3
Chiapas	2020-03-15	1
Chiapas	2020-03-19	2
Chiapas	2020-03-25	4
Chiapas	2020-03-27	7
Chiapas	2020-03-29	11
Chihuahua	2020-03-17	1
Chihuahua	2020-03-20	2
Chihuahua	2020-03-22	5
Chihuahua	2020-03-24	6
Ciudad de México	2020-03-15	18
Ciudad de México	2020-03-16	21
Ciudad de México	2020-03-18	24
Ciudad de México	2020-03-19	31
Ciudad de México	2020-03-21	45
Ciudad de México	2020-03-22	56
Ciudad de México	2020-03-23	60
Ciudad de México	2020-03-24	66
Ciudad de México	2020-03-25	82
Ciudad de México	2020-03-26	83
Ciudad de México	2020-03-27	108
Ciudad de México	2020-03-28	178
Ciudad de México	2020-03-29	197
Coahuila	2020-03-15	1
Coahuila	2020-03-21	3
Coahuila	2020-03-22	10
Coahuila	2020-03-23	12
Coahuila	2020-03-26	13
Coahuila	2020-03-27	14
Coahuila	2020-03-28	15
Coahuila	2020-03-29	32
Colima	2020-03-18	1
Colima	2020-03-21	2
Durango	2020-03-15	1
Durango	2020-03-16	3
Durango	2020-03-20	4
Durango	2020-03-21	5
Durango	2020-03-27	7
Guanajuato	2020-03-17	1
Guanajuato	2020-03-18	4
Guanajuato	2020-03-23	7
Guanajuato	2020-03-24	12
Guanajuato	2020-03-25	19
Guanajuato	2020-03-26	23
Guanajuato	2020-03-27	31
Guanajuato	2020-03-28	37
Guerrero	2020-03-16	2
Guerrero	2020-03-19	4
Guerrero	2020-03-23	5
Guerrero	2020-03-24	6
Guerrero	2020-03-25	7
Guerrero	2020-03-28	10
Guerrero	2020-03-29	13
Hidalgo	2020-03-19	2
Hidalgo	2020-03-21	3
Hidalgo	2020-03-22	5
Hidalgo	2020-03-23	7
Hidalgo	2020-03-26	12
Hidalgo	2020-03-29	17
Jalisco	2020-03-15	2
Jalisco	2020-03-17	5
Jalisco	2020-03-18	6
Jalisco	2020-03-19	22
Jalisco	2020-03-20	28
Jalisco	2020-03-21	32
Jalisco	2020-03-22	41
Jalisco	2020-03-23	46
Jalisco	2020-03-26	66
Jalisco	2020-03-27	79
Jalisco	2020-03-28	84
Jalisco	2020-03-29	85
Michoacán	2020-03-22	3
Michoacán	2020-03-23	7
